region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
Mediterranean,"August 06, 2015",2015,3,2,2,NA,Drowning,NA,"34.981478400000, 23.490953900000",http://www.actionpal.org.uk/en/
Mediterranean,"August 06, 2015",2015,2,NA,NA,NA,Drowning,NA,"34.981478400000, 23.490953900000",http://bit.ly/1TdIZAp
US-Mexico Border,"August 05, 2015",2015,1,NA,1,NA,Hyperthermia,Pima County,"31.621437300000, -111.930093400000",NA
North Africa,"August 05, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Between Al Qadarif and Metama, Sudan","13.599487000000, 35.630127000000",NA
US-Mexico Border,"August 04, 2015",2015,1,NA,1,NA,Hyperthermia,Pima County,"31.621437300000, -111.930093400000",NA
Central America,"August 04, 2015",2015,1,NA,1,NA,Shot,"Huichapan, Hidalgo, Mexico","20.373733000000, -99.646352000000",http://bit.ly/2cB49ov
Central America,"August 04, 2015",2015,1,NA,1,NA,Train Accident,"Bocas, San Luis Potosi, Mexico","22.443927000000, -101.074437000000",http://bit.ly/2p94SaU
Central America,"August 03, 2015",2015,1,NA,1,NA,Shot,"On a ranch near town of Trincheras, Sonora, Mexico","30.398080000000, -111.534296000000",http://bit.ly/1ZDIL3r
Mediterranean,"August 03, 2015",2015,1,NA,1,NA,Suffocation,On board a boat from Melilla to the mainland Almeria,"36.834047000000, -2.463713600000",http://bbc.in/1KOMRAy
Mediterranean,"August 03, 2015",2015,5,NA,NA,NA,Unknown,NA,"34.981478400000, 23.490953900000",NA
Mediterranean,"August 02, 2015",2015,4,NA,4,NA,Drowning,Near Ceuta,"35.927200000000, -5.325470000000",http://yhoo.it/1M2JMOU
North Africa,"August 01, 2015",2015,1,NA,NA,NA,Murdered,"Sirte, Libya","31.199373000000, 16.596383000000",NA
South America,"August 01, 2015",2015,1,NA,1,NA,Presumed drowning,"Off shores of Acandí, Chocó, Colombia","8.510109000000, -77.278980000000",http://bit.ly/2kuYxl8
North Africa,"August 01, 2015",2015,1,NA,NA,NA,Starvation,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"August 01, 2015",2015,1,NA,NA,NA,Suffocation,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
US-Mexico Border,"August 01, 2015",2015,1,NA,1,NA,Unknown,Pima County,"31.621437300000, -111.930093400000",NA
North Africa,"August 01, 2015",2015,1,NA,NA,NA,Unknown,"Sirte, Libya","31.199373000000, 16.596383000000",NA
North Africa,"August 01, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
US-Mexico Border,"July 31, 2015",2015,1,NA,1,NA,Murdered,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"July 30, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"July 30, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"July 29, 2015",2015,1,NA,1,NA,Drowning,Rio Grande (on Mexican side of Laredo Sector),"27.495426800000, -99.514468300000",http://bit.ly/1QjSzuh
US-Mexico Border,"July 29, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"July 29, 2015",2015,1,NA,1,NA,Vehicle Accident,"Eurotunnel, France","50.951300000000, 1.858690000000","http://bit.ly/1glqwRa, http://bit.ly/1Im65dN"
US-Mexico Border,"July 28, 2015",2015,1,NA,1,NA,Drowning,"All American Canal at Central Main Check, Calexico CA","32.676249700000, -115.486683000000",NA
US-Mexico Border,"July 28, 2015",2015,2,NA,NA,NA,Unknown,"Desert near Carrizo Springs, Dimmit County, Texas","28.259751300000, -100.245529000000",http://bit.ly/2doy9KN
US-Mexico Border,"July 28, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"July 27, 2015",2015,14,NA,9,NA,Unknown,Off the coast of Libya,"34.234500000000, 14.743700000000",NA
Europe,"July 27, 2015",2015,1,NA,1,NA,Vehicle Accident,"Eurotunnel, France","50.951300000000, 1.858690000000",http://www.liberation.fr/societe/2015/07/29/des-noms-derrieres-les-migrants-morts-a-calais_1355183
Europe,"July 24, 2015",2015,1,NA,1,NA,Drowning,"Calais, Eurotunnel site","50.926453900000, 1.796831500000",http://bit.ly/1HXOSXN
Europe,"July 24, 2015",2015,1,NA,NA,NA,Unknown,British side of Eurotunnel,"51.096029100000, 1.037926800000",http://ind.pn/1Irgvhr
Europe,"July 24, 2015",2015,1,1,NA,NA,Vehicle Accident,"A16 motorway, Northern France, near Channel Tunnel","50.003540600000, 2.171915600000",http://bit.ly/1IiUz1J
Mediterranean,"July 23, 2015",2015,40,NA,NA,NA,Drowning,Off the coast of Libya,"34.234500000000, 14.743700000000",http://www.presstv.ir/Detail/2015/07/23/421569/migrants-dead-Libya-coast-Mediterranean-Europe
Central America,"July 23, 2015",2015,1,NA,1,NA,Fall from train,"La Cofradía, Jalisco, Mexico","20.056657000000, -104.098026000000",http://on.fb.me/1OdjzeW
North Africa,"July 23, 2015",2015,1,NA,NA,NA,Starvation,"Saraha Desert, north of Khartoum, Sudan","21.227478000000, 23.503113000000",NA
North Africa,"July 23, 2015",2015,7,NA,NA,NA,Starvation,"Saraha Desert, beween Sudan and Libya","22.744540000000, 22.352479300000",NA
US-Mexico Border,"July 21, 2015",2015,3,NA,3,1,Drowning,"Rio Grande River near the City of Eagle Pass, Texas International Bridge No. 1. Recovered by Mexican authorities.","28.705310200000, -100.514147900000","http://bit.ly/1MHOaPv, http://bit.ly/1CUWrln"
Europe,"July 19, 2015",2015,1,NA,1,1,Drowning,"Eurotunnel, France","49.382400000000, 2.109380000000",https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/
Sub-Saharan Africa,"July 19, 2015",2015,1,NA,NA,NA,"Starvation, Dehydration","In the sea near Mombassa, Kenya","-4.047485000000, 39.756104000000",NA
Mediterranean,"July 16, 2015",2015,6,NA,NA,NA,Drowning,"Off the coast of the province of Canakkale, northwestern Turkey, en route to Lesvos","39.283600000000, 26.505700000000",http://bit.ly/1gDj5op
US-Mexico Border,"July 16, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"July 16, 2015",2015,1,NA,1,NA,Vehicle Accident,"Calais, France","50.951300000000, 1.858690000000",https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/
Mediterranean,"July 15, 2015",2015,100,NA,NA,NA,Drowning,"Tajoura, 10 km east of Tripoli","32.865295722001, 13.092461346875",http://bit.ly/1SkzR7f
US-Mexico Border,"July 15, 2015",2015,1,NA,1,NA,Envenomation,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"July 15, 2015",2015,1,1,NA,1,Hypoglycemia,Between Libya and Italy,"35.746500000000, 14.414100000000","http://bit.ly/1LxGjrn, http://bit.ly/1gJKO6T"
Europe,"July 15, 2015",2015,1,NA,1,NA,Vehicle Accident,"M5 near border crossing at Roezke, Hungary","46.186966000000, 19.991362000000",http://bit.ly/1MIyn3k
US-Mexico Border,"July 14, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"July 13, 2015",2015,1,NA,1,NA,Vehicle Accident,"Calais-Eurotunnel, France","51.017900000000, 1.474550000000",https://calaismigrantsolidarity.wordpress.com/deaths-at-the-calais-border/
US-Mexico Border,"July 11, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"July 10, 2015",2015,30,NA,NA,NA,Presumed drowning,"Off the Tunisian coast, close to the city of Kelef.","32.750000000000, 13.716700000000",NA
Mediterranean,"July 09, 2015",2015,9,1,8,NA,Drowning,"Off the coast of Ben Guerdane, southern Tunisia","31.653400000000, 31.289100000000",http://bit.ly/1G6D5Em
Mediterranean,"July 09, 2015",2015,12,4,NA,NA,Drowning,About 40 miles north of Libya,"37.779414000000, 26.353410000000",http://reut.rs/1M3kAIt
US-Mexico Border,"July 09, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"July 07, 2015",2015,18,NA,NA,NA,Drowning,Between the Greek islands of Farmakonisi and Agathonisi,"37.351100000000, 27.037100000000",http://bit.ly/1NRPfY7
US-Mexico Border,"July 07, 2015",2015,1,NA,1,1,Drowning,"Rio Grande, near recreation centre La Playita","26.034277400000, -98.331911200000",http://www.laprensa.mx/notas.asp?id=371404
Europe,"July 07, 2015",2015,1,NA,1,NA,Train Accident,"French entrance to Channel Tunnel, France","50.914300000000, 1.800380000000","http://bbc.in/1HalLjR, http://bit.ly/1TnlRvV"
North Africa,"July 06, 2015",2015,1,NA,NA,NA,Starvation,Sudanese border with Libya,"16.121094000000, 32.310913000000",NA
Central America,"July 05, 2015",2015,2,NA,NA,NA,Vehicle Accident,"Highway near San Dionisio del Mar, San Francisco Ixhuatan, Istmo de Tehuantepec, Oaxaca, Mexico","16.357811000000, -94.758468000000",http://eluni.mx/1ZEFSAj
Central America,"July 05, 2015",2015,2,NA,NA,NA,Vehicle Accident,"General Hospital Ixtepec, Oaxaca, Mexico","17.160265500000, -97.331239900000",http://bit.ly/2ftnGMy
US-Mexico Border,"July 04, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"July 02, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Central America,"July 02, 2015",2015,1,NA,1,NA,Unknown,"in train car in Apizaco, Tlaxcala","19.421016000000, -98.142549000000",http://bit.ly/24Bl93O
North Africa,"July 01, 2015",2015,1,NA,NA,NA,"Dehydration, Starvation","Between Ajdabiya and Tripoli, Libya","31.363666900000, 10.233956100000",NA
North Africa,"July 01, 2015",2015,1,NA,NA,NA,"Exposure, Hyperthermia","Sahara Desert, between Hagas, Sudan and Shaidi, Libya","21.459778100000, 21.471366900000",NA
North Africa,"July 01, 2015",2015,2,NA,NA,NA,Murdered,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"July 01, 2015",2015,1,NA,NA,NA,Murdered,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"July 01, 2015",2015,2,NA,NA,NA,Sickness and lack of access to medicines,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"July 01, 2015",2015,1,NA,NA,NA,Starvation,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"July 01, 2015",2015,3,NA,NA,NA,Starvation,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
US-Mexico Border,"July 01, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"July 01, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"July 01, 2015",2015,1,NA,NA,NA,Unknown,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
Sub-Saharan Africa,"July 01, 2015",2015,3,NA,NA,NA,Unknown,"Unspecified location, Niger","17.607789000000, 8.081666000000",NA
North Africa,"July 01, 2015",2015,3,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Khartoum, Sudan and Ajdabiya, Libya","19.545270100000, 21.922914300000",NA
North Africa,"July 01, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Sabha, Libya","19.075158000000, 8.024068000000",NA
US-Mexico Border,"June 30, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"June 30, 2015",2015,2,NA,NA,NA,Dehydration,"Sahara Desert between Niamey, Niger and Subratha, Libya","15.712389863732, 4.981830712500",NA
US-Mexico Border,"June 29, 2015",2015,1,NA,1,NA,Unknown (skeletal remains),"Imperial County, CA","33.024950500000, -115.845024500000",http://bit.ly/2ayUenC
Europe,"June 29, 2015",2015,1,1,NA,NA,Vehicle Accident,"A16 between Calais and Marck, France","49.610700000000, 2.109380000000",http://bit.ly/1DPsGT2
US-Mexico Border,"June 28, 2015",2015,1,NA,1,NA,Exposure,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 27, 2015",2015,1,NA,1,NA,Hyperthermia,"GPS: N32.66653 W115.76090, 4 mi south of Drew Road, Seeley, CA","32.749080400000, -115.771138100000",NA
US-Mexico Border,"June 27, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"June 26, 2015",2015,1,NA,1,NA,Train Accident,"French entrance to Channel Tunnel, France","46.227638000000, 2.213749000000",http://bit.ly/1KNxevI
Central America,"June 26, 2015",2015,9,NA,NA,NA,Vehicle Accident,"Municipality of Jalapa. About 55 km south east of Villahermosa, Tabasco while crossing the San Marcos River, Mexico","17.721200000000, -92.813900000000",http://bit.ly/1glFaYh
US-Mexico Border,"June 25, 2015",2015,1,NA,1,NA,Drowning,"All American Canal, Calexico CA","32.668685000000, -115.493137300000",NA
Mediterranean,"June 25, 2015",2015,1,1,NA,NA,Hypoglycemia,Unspecified location between Egypt and Italy,"35.128838500000, 18.902833900000",http://actionpal.org.uk
Mediterranean,"June 23, 2015",2015,6,1,NA,NA,Drowning,"3.2 kilometers from the resort city of Bodrum, near Kara Ada, en route to Kos","37.005900000000, 27.419600000000","http://bit.ly/1IbWNVk, http://bit.ly/1CqKrm6"
Mediterranean,"June 23, 2015",2015,1,NA,NA,NA,Shot,Off the coast of Libya,"34.234500000000, 14.743700000000",http://bit.ly/1PkI3I5
US-Mexico Border,"June 22, 2015",2015,1,NA,1,NA,Exposure,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 21, 2015",2015,1,NA,1,NA,Drowning,"Rio Bravo, Mexico","26.037909700000, -98.086004100000",http://bit.ly/1mSBY9T
Horn of Africa,"June 21, 2015",2015,1,NA,NA,NA,"Shot, Stabbed","Jigiga, Ethiopia","9.355286000000, 42.795288000000",NA
Mediterranean,"June 20, 2015",2015,22,NA,NA,NA,Drowning,"Boat left from the coast of Al Hoceima, Morocco. Search called off after 2 days with no sign","35.352515000000, -3.976368000000",http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf
US-Mexico Border,"June 20, 2015",2015,1,NA,1,NA,Exposure,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Sub-Saharan Africa,"June 19, 2015",2015,2,NA,NA,NA,Sickness and lack of access to medicines,Mozambique,"-18.563171000000, 35.002686000000",NA
US-Mexico Border,"June 18, 2015",2015,1,NA,1,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"June 18, 2015",2015,1,NA,1,NA,Plane stowaway,"Heathrow Airport, UK","51.471150000000, -0.456487000000","http://bit.ly/1Rgw7b9, http://bit.ly/1Bs6I7M"
US-Mexico Border,"June 18, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 18, 2015",2015,1,1,NA,NA,Vehicle Accident,"Encinitas, California, San Diego County","32.591521000000, -117.120961700000",http://bit.ly/1I8WLh9
Mediterranean,"June 17, 2015",2015,3,NA,3,NA,Drowning,NA,"34.981478400000, 23.490953900000",NA
US-Mexico Border,"June 17, 2015",2015,1,NA,1,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 17, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 16, 2015",2015,1,1,NA,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 16, 2015",2015,1,NA,1,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Central America,"June 16, 2015",2015,1,NA,1,NA,Train Accident,"Venustiano Carranza Avenue. Colony Rubén Jaramillo, Monterrey, Mexico","25.695667000000, -100.329018000000",http://bit.ly/2fFsxuy
US-Mexico Border,"June 16, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"June 15, 2015",2015,15,NA,NA,NA,Dehydration,"Near Dirkou, northeast of Agadez, Niger","19.000389000000, 12.894990000000",NA
Central America,"June 14, 2015",2015,5,NA,NA,NA,Presumed drowning,"Darien Gap, Río Turquesa, Bajo Chiquito, Panama","7.738711600000, -77.986971100000","http://bit.ly/2gnXhxU, http://bit.ly/2gbBe1q"
US-Mexico Border,"June 13, 2015",2015,1,NA,1,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 10, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 08, 2015",2015,1,NA,1,NA,Hyperthermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 08, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"June 03, 2015",2015,18,1,17,NA,Dehydration,"Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","19.387730500000, 5.714761600000",http://bit.ly/1N2FLsN
North Africa,"June 03, 2015",2015,0,NA,NA,NA,Dehydration,"Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","20.145079000000, 7.404254000000",NA
North Africa,"June 03, 2015",2015,0,NA,NA,NA,Dehydration,"Between Arlit in Niger and Algeria. 67 and 70 km Northeast of Assamaka, Niger.","19.387730500000, 5.714761600000",NA
US-Mexico Border,"June 03, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Central America,"June 02, 2015",2015,3,NA,NA,NA,Violence,"Sonora, Mexico","29.376662500000, -113.982345600000",http://yhoo.it/1eCOIh5
North Africa,"June 01, 2015",2015,2,NA,NA,NA,"Dehydration, Starvation","Sahara Desert between Agadez, Niger and Libya","20.084053000000, 10.741789000000",NA
US-Mexico Border,"June 01, 2015",2015,1,1,NA,NA,Hyperthermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"June 01, 2015",2015,1,NA,1,NA,Hyperthermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"June 01, 2015",2015,1,NA,NA,NA,Murdered,"Sahara Desert between Agadez, Niger and Libya","19.075158000000, 8.024068000000",NA
Southeast Asia,"June 01, 2015",2015,60,NA,NA,NA,Mixed,Bay of Bengal and Andaman Sea,"10.010819000000, 94.999996000000",http://www.unhcr.org/554c6a746.html
North Africa,"June 01, 2015",2015,1,NA,NA,NA,Unknown,"Sahara Desert between Agadez, Niger and Libya","20.084053000000, 10.741789000000",NA
North Africa,"June 01, 2015",2015,1,NA,NA,NA,Violence,"Sahara Desert between Agadez, Niger and Libya","19.075158000000, 8.024068000000",NA
Central America,"May 31, 2015",2015,1,NA,1,NA,Shot,"La Rumorosa, Baja California, Mexico","32.602038000000, -116.079468000000",http://bit.ly/291fuQ9
Europe,"May 31, 2015",2015,1,NA,1,NA,Vehicle Accident,"A16 Highway at the entrance to the Eurotunnel, France","49.610700000000, 1.406250000000",http://bit.ly/1DPsGT2
North Africa,"May 31, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Tripoli, Libya","24.026731964107, 13.154260888876",NA
Mediterranean,"May 30, 2015",2015,25,NA,NA,NA,"Burned, Drowning",Central Med,"35.050314391584, 18.113846750000",NA
US-Mexico Border,"May 30, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"May 28, 2015",2015,8,NA,NA,NA,Drowning,"Rio Grande, Mexican side of border","29.085434600000, -100.863546900000",http://bit.ly/2bFuntl
US-Mexico Border,"May 28, 2015",2015,1,NA,1,NA,Drowning,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","27.469219000000, -99.549635600000",http://bit.ly/2bFuntl
US-Mexico Border,"May 28, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"May 28, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
South America,"May 27, 2015",2015,1,NA,1,NA,Cardiac arrest,"Turbo, Urabá, Antioquía, Colombia","8.086946369365, -76.728381218555","http://bit.ly/2ljaeuB, http://bit.ly/1AtwmbP, http://bit.ly/2jXjmDU"
Mediterranean,"May 26, 2015",2015,1,NA,1,1,Fall from boat,"Rocks near the port of Melilla, Spain","35.880463000000, -5.320930000000",http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf
Central America,"May 26, 2015",2015,1,NA,1,NA,Fall from boat,"Ramos Arizpe. On way to Laredo, Tamaulipas, Mexico","26.213257000000, -100.156984000000",http://bit.ly/20rhPXZ
Southeast Asia,"May 26, 2015",2015,2,NA,1,NA,Unknown,Indonesia,"13.498141000000, 89.487406000000",NA
Mediterranean,"May 25, 2015",2015,5,NA,NA,NA,Drowning,"off coast of Kafr el-Sheikh, Egypt","38.324300000000, 26.288780000000",http://bit.ly/1AqSSCy
Southeast Asia,"May 24, 2015",2015,47,NA,NA,NA,Drowning,"Rakhine State, Myanmar","19.810093000000, 93.987842700000",http://bit.ly/1ALHt0f
North Africa,"May 23, 2015",2015,1,NA,NA,NA,"Dehydration, Harsh conditions","Brega, Libya","30.410095000000, 19.569885000000",NA
Mediterranean,"May 23, 2015",2015,5,NA,NA,NA,Drowning,Teboulba,"35.643960100000, 10.946793900000",http://www.business-standard.com/article/pti-stories/5-italy-bound-tunisian-migrants-drown-49-rescued-in-med-115052300647_1.html
US-Mexico Border,"May 22, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Horn of Africa,"May 21, 2015",2015,1,NA,NA,NA,Dehydration,"Kismayo, Somalia","-0.353821000000, 42.545288000000",NA
Mediterranean,"May 21, 2015",2015,1,NA,1,1,Suffocation,Unknown - Central Med,"35.309949500000, 13.479818300000",NA
Sub-Saharan Africa,"May 20, 2015",2015,8,5,3,NA,Drowning,Nosy Be (Northern Madagascar),"-13.315018600000, 48.259260600000",http://bit.ly/1g8tisr
Southeast Asia,"May 19, 2015",2015,1,NA,1,NA,Sickness and lack of access to medicines,"Indonesia, Cut Meutia Hospital","4.718780000000, 97.931785000000",NA
Sub-Saharan Africa,"May 19, 2015",2015,1,NA,NA,NA,Suffocation,"In back of truck, between Moyale, Ethiopia and Nairobi, Kenya","1.860474000000, 37.772888000000",NA
US-Mexico Border,"May 18, 2015",2015,1,NA,1,NA,Drowning,"All American Canal, Calexico CA","32.668685000000, -115.493137300000",NA
Sub-Saharan Africa,"May 15, 2015",2015,1,NA,NA,NA,"Starvation, Suffocation","Between Moyale, Ethiopia and Nairobi, Kenya","1.695679000000, 37.937683000000",NA
Southeast Asia,"May 15, 2015",2015,10,NA,NA,NA,Unknown,NA,"5.836902800000, 115.099941100000",http://bbc.in/1F9SIhx
Horn of Africa,"May 13, 2015",2015,1,NA,NA,NA,Vehicle Accident,Sudan,"15.739896500000, 25.702966000000",NA
Europe,"May 12, 2015",2015,1,NA,1,NA,Crushed in back of truck,"Genas, France","45.732148000000, 4.999428000000",http://bit.ly/1HpTRGh
US-Mexico Border,"May 12, 2015",2015,1,NA,1,NA,Hypothermia,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Central America,"May 10, 2015",2015,1,NA,1,NA,Shot,"Los Pinos, Mexicali, Mexico","32.650514000000, -115.448746000000",http://bit.ly/1UAd5gE
Southeast Asia,"May 05, 2015",2015,2,NA,NA,NA,Unknown,"Trafficking camps in Phang Nga province, Thailand","8.450141400000, 98.525531700000",http://bbc.in/1KbWCHr
Mediterranean,"May 04, 2015",2015,46,NA,46,NA,Drowning,Between Libya and Italy/Malta. Rescued by Maltese ship,"36.391620500000, 14.349836900000",http://bbc.in/1OX7XSF
Mediterranean,"May 02, 2015",2015,3,NA,NA,NA,Drowning,"Off the coast of Beheira’s Edku city, Egypt","31.299627700000, 30.292163700000",http://bit.ly/1brfBSA
Mediterranean,"May 02, 2015",2015,10,NA,NA,NA,Drowning,Various - Central Med (off Libya),"31.594035217005, 18.109550500000",http://bbc.in/1QcE8e3
North Africa,"May 01, 2015",2015,6,NA,NA,NA,Dehydration,"Sahara Desert, between Yantala, Niger and Tripoli, Libya","23.875410200000, 12.847447600000",NA
North Africa,"May 01, 2015",2015,2,NA,NA,NA,Murdered,"Sahara Desert, between Niamey, Niger and Tripoli, Libya","19.789357100000, 10.763283100000",NA
Southeast Asia,"May 01, 2015",2015,36,NA,NA,NA,Unknown,"Trafficking camps in Songkhla province, Thailand","8.540132000000, 98.661975000000",http://bit.ly/1MMbZIc
Southeast Asia,"May 01, 2015",2015,106,NA,NA,NA,Unknown,28 abandoned human trafficking camps scattered along a 50 km (30 mile) stretch of the Thai border,"6.444910000000, 100.578535000000",http://bit.ly/1PPmCyf
North Africa,"May 01, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Sahara Desert, between Agadez, Niger and Tripoli, Libya","19.075158000000, 8.024068000000",NA
North Africa,"May 01, 2015",2015,2,NA,NA,NA,Violence,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"April 30, 2015",2015,2,NA,NA,NA,Shot,"Misurata, Libya","32.318625356454, 15.161053695703",NA
Europe,"April 24, 2015",2015,1,NA,1,NA,Train Accident,"Near Skopje, Macedonia","41.997346200000, 21.427995600000",http://bit.ly/1doBmUH
US-Mexico Border,"April 24, 2015",2015,1,1,NA,NA,Vehicle Accident,"Brownsville Ship Channel, Cameron County, Texas","25.959096300000, -97.296037800000","http://bit.ly/1VGcJ4Z, http://bit.ly/2kDAgcL"
Europe,"April 23, 2015",2015,14,NA,NA,NA,Train Accident,"Pcinja, Veles, Macedonia","41.716456300000, 21.772296600000",http://ind.pn/1EvSuCe
US-Mexico Border,"April 23, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"April 23, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"April 21, 2015",2015,1,NA,1,NA,"Crushed, Vehicle Accident","under bus on ferry from Igoumenitsa, Greece to Bari, Italy","41.150241784105, 17.421187906250",http://bit.ly/1XZhNnY
US-Mexico Border,"April 21, 2015",2015,1,NA,1,NA,Drowning,"Rio Bravo, Nuevo Laredo, Tamaulipas, Mexico","27.468842800000, -99.557492700000",http://bit.ly/1Q8W76t
Central America,"April 21, 2015",2015,1,NA,1,NA,Vehicle Accident,"Federal highway 90, between Irapuato and Abasolo, Mexico","20.538573000000, -101.455532000000",http://bit.ly/1SxEcUw
Mediterranean,"April 20, 2015",2015,2,1,2,1,Drowning,"Zephyros beach, Rhodes, Greece (right on coast)","33.712300000000, 11.447400000000","http://reut.rs/1aJQdqM, http://bit.ly/1G3jtSr, http://bit.ly/1JagTQG"
Mediterranean,"April 20, 2015",2015,1,NA,1,NA,Drowning,"Zephyros beach, Rhodes, Greece (right on coast)","36.352782000000, 27.938259000000","http://reut.rs/1aJQdqM, http://bit.ly/1G3jtSr, http://bit.ly/1JagTQG"
Horn of Africa,"April 20, 2015",2015,1,NA,NA,NA,Vehicle Accident,"Karora, Eritrea","17.701111000000, 38.369873000000",NA
